регион,молодежь,всего
Белгородская область,369376,1549151
Брянская область,277483,1192491
Владимирская область,308443,1358416
Воронежская область,563806,1297168
Ивановская область,233651,997135
Калужская область,232806,1002575
Костромская область,140311,633385
Курская область,254789,1104008
Липецкая область,255756,1139371
Московская область,1870349,7690863
Орловская область,170192,733498
Рязанская область,254386,1108847
Смоленская область,222144,934889
Тамбовская область,227608,1006748
Тверская область,285504,1260379
Тульская область,327349,1466127
Ярославская область,287019,1253389
г.Москва,2876098,12678079
Республика Карелия,138707,614064
Республика Коми,190505,820473
Архангельская область,259498,1136535
Вологодская область,265961,1160445
Калининградская область,255331,1012512
Ленинградская область,468062,1875872
Мурманская область,187830,741404
Новгородская область,133158,596508
Псковская область,145553,626115
г.Санкт-Петербург,1347610,5398064
Республика Адыгея,119035,463088
Республика Калмыкия,69769,271135
Республика Крым,439437,1912622
Краснодарский край,1366591,5675462
Астраханская область,252537,1005782
Волгоградская область,604670,2491036
Ростовская область,1041947,4197821
г. Севастополь,111144,449138
Республика Дагестан,1008355,3110858
Республика Ингушетия,166240,507061
Кабардино-Балкарская Республика,246377,868350
Карачаево-Черкесская Республика,125377,465528
Республика Северная Осетия-Алания,186816,696837
Чеченская Республика,488442,1478726
Ставропольский край,744312,2803573
Республика Башкортостан,1024726,4038151
Республика Марий Эл,165798,679417
Республика Мордовия,192844,790197
Республика Татарстан,995070,3902888
Удмуртская Республика,359506,1500955
Чувашская Республика,296240,1217818
Пермский край,635442,2599260
Кировская область,271850,1262402
Нижегородская область,767815,3202946
Оренбургская область,471019,1956835
Пензенская область,297737,1305563
Самарская область,755675,3179532
Саратовская область,583589,2421895
Ульяновская область,285166,1229824
Курганская область,181509,827166
Свердловская область,1030346,4310681
Тюменская область,988002,3756536
Челябинская область,847631,3466369
Республика Алтай,54842,220181
Республика Тыва,91511,327383
Республика Хакасия,128998,534262
Алтайский край,535676,2317153
Красноярский край,737282,2866255
Иркутская область,619164,2391193
Кемеровская область,639560,2657854
Новосибирская область,700611,2798170
Oмская область,467396,1926665
Томская область,300750,1079271
Республика Бурятия,262732,985937
Республика Саха (Якутия),280505,971996
Забайкальский край,293368,1059700
Камчатский край,80971,313016
Приморский край,481932,1895868
Хабаровский край,355351,1315643
Амурская область,204287,790044
Магаданская область,33127,140149
Сахалинская область,118748,488257
Еврейская автономная область,40436,158305
Чукотский автономный округ,13014,50288